tank,mortalities,oxigen,appetite,leftover,feed_spill,food,tails,bacteria,condition,odd_even
f1,0,110,,,,,,,,
f2,1,110,,,,,,,,
f3,,,,,,,,,,
f4,,,,,,,,,,
f5,,,,,,,,,,
f6,,,,,,,,,,
f7,,,,,,,,,,
f8,,,,,,,,,,
f9,,,,,,,,,,
f10,,,,,,,,,,
o7,,,,,,,,,,
o10,,,,,,,,,,
o1,,,,,,,,,,
o9,,,,,,,,,,
o2,,,,,,,,,,
o8,,,,,,,,,,
o3,,,,,,,,,,
o4,,,,,,,,,,
o6,,,,,,,,,,
o5,,,,,,,,,,
o11,,,,,,,,,,
o12,,,,,,,,,,
o13,,,,,,,,,,
o14,,,,,,,,,,
p1n1,,,,,,,,,,
p1s1,,,,,,,,,,
p1n2,,,,,,,,,,
p1s2,,,,,,,,,,
p1n3,,,,,,,,,,
p1s3,,,,,,,,,,
p1n4,,,,,,,,,,
p1s4,,,,,,,,,,
p2n1,,,,,,,,,,
p2s1,,,,,,,,,,
p2n2,,,,,,,,,,
p2s2,,,,,,,,,,
p2n3,,,,,,,,,,
p2s3,,,,,,,,,,
p2n4,,,,,,,,,,
p2s4,,,,,,,,,,
p3n1,,,,,,,,,,
p3s1,,,,,,,,,,
p3n2,,,,,,,,,,
p3s2,,,,,,,,,,
p3n3,,,,,,,,,,
p3s3,,,,,,,,,,
p3n4,,,,,,,,,,
p3s4,,,,,,,,,,
p4n1,,,,,,,,,,
p4s1,,,,,,,,,,
p4n2,,,,,,,,,,
p4s2,,,,,,,,,,
p4n3,,,,,,,,,,
p4s3,,,,,,,,,,
p4n4,,,,,,,,,,
p4s4,,,,,,,,,,
p5n1,,,,,,,,,,
p5s1,,,,,,,,,,
p5n2,,,,,,,,,,
p5s2,,,,,,,,,,
p5n3,,,,,,,,,,
p5s3,,,,,,,,,,
p5n4,,,,,,,,,,
p5s4,,,,,,,,,,
